Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
1337500000,-13.60074859,-128.6053703,-488.6053703,-3.460427825,-24.13363755,-384.1336376,-3.764403395,-22.43059027,-382.4305903,-15.12736139,-121.3510514,-481.3510514
1350000000,-14.77230583,-115.7321783,-475.7321783,-3.214422316,-22.73060061,-382.7306006,-4.388079803,-24.62827251,-384.6282725,-14.28008725,-119.0582043,-479.0582043
1362500000,-15.64242569,-124.9110037,-484.9110037,-4.134796254,-24.93043288,-384.9304329,-4.751561121,-30.18743439,-390.1874344,-13.59413988,-100.8958989,-460.8958989
1375000000,-14.70999458,-131.7384348,-491.7384348,-4.553848411,-33.32945905,-393.3294591,-4.458039524,-38.11822177,-398.1182218,-17.87800733,-117.9936787,-477.9936787
1387500000,-14.1970041,-148.658179,-508.658179,-4.032709769,-40.99868689,-400.9986869,-3.538132662,-40.10291826,-400.1029183,-14.30824665,-120.8817064,-480.8817064
1400000000,-13.05469853,-142.5610443,-502.5610443,-2.681369139,-44.12358828,-404.1235883,-2.974146464,-38.25638349,-398.2563835,-14.80432498,-129.046949,-489.046949
1412500000,-12.67864335,-146.3071298,-506.3071298,-2.315090069,-42.02413246,-402.0241325,-3.464409256,-36.36672802,-396.366728,-12.77291626,-129.8889841,-489.8889841
1425000000,-13.72341937,-145.3249451,-505.3249451,-3.260686918,-43.42655951,-403.4265595,-4.259476767,-42.32881947,-402.3288195,-14.82930441,-141.1613144,-501.1613144
1437500000,-12.38308097,-155.3298132,-515.3298132,-4.05115827,-49.41741628,-409.4174163,-4.107458267,-52.06770252,-412.0677025,-14.99807314,-146.8728894,-506.8728894
1450000000,-12.02121252,-159.2702414,-519.2702414,-4.021987973,-61.41944464,-421.4194446,-3.121653882,-60.36825816,-420.3682582,-15.65844351,-137.7470942,-497.7470942
1462500000,-12.5823126,-160.2656024,-520.2656024,-2.762713044,-65.6485001,-425.6485001,-1.974628728,-60.56360038,-420.5636004,-16.22579366,-144.1170621,-504.1170621
1475000000,-12.32079709,-155.51609,-515.51609,-2.183723475,-61.96749918,-421.9674992,-1.809922141,-57.32657263,-417.3265726,-15.20336044,-145.1073501,-505.1073501
1487500000,-14.74206574,-175.3795315,-535.3795315,-2.638474745,-56.78261649,-416.7826165,-2.339882976,-56.61368731,-416.6136873,-13.87363492,-159.6002377,-519.6002377
